SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TotalServices,AvgMonthlyCharges,ChargeEvolution,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2 Years,TenureGroup_2-3 Years,TenureGroup_3-4 Years,TenureGroup_4-5 Years,TenureGroup_5+ Years
0,1,1,27,1,0,66.15,1874.45,0,6,69.42407407407407,-3.274074074074065,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,0,0,1,1,0,20.2,20.2,0,7,20.2,0.0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1,0,0,1,1,0,45.25,45.25,0,2,45.25,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,1,72,1,0,99.9,7251.7,0,7,100.71805555555555,-0.8180555555555458,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0,0,0,5,1,1,69.7,316.9,1,2,63.379999999999995,6.320000000000007,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,0,46,1,1,74.8,3548.3,0,3,77.13695652173914,-2.3369565217391397,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,0,0,34,1,1,106.35,3549.25,1,7,104.38970588235294,1.9602941176470523,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0,0,0,11,1,1,97.85,1105.4,1,6,100.4909090909091,-2.640909090909105,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,1,1,10,1,0,49.55,475.7,0,3,47.57,1.9799999999999969,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0,1,1,70,1,1,69.2,4872.35,0,6,69.605,-0.40500000000000114,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
0,1,1,17,1,0,20.75,418.25,0,7,24.602941176470587,-3.852941176470587,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False
0,0,0,63,1,1,79.85,4861.45,0,8,77.16587301587302,2.6841269841269764,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True
0,1,0,13,1,1,76.2,981.45,0,7,75.49615384615385,0.7038461538461576,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False
0,0,0,49,1,1,84.5,3906.7,0,4,79.72857142857143,4.771428571428572,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
0,0,0,2,1,0,49.25,97.0,0,3,48.5,0.75,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,2,1,1,80.65,144.15,1,3,72.075,8.575000000000003,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
0,0,0,52,1,1,79.75,4217.8,0,7,81.11153846153846,-1.3615384615384585,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False
0,1,1,69,1,1,64.15,4254.1,0,6,61.6536231884058,2.496376811594203,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
1,0,0,43,1,1,90.25,3838.75,0,5,89.27325581395348,0.9767441860465169,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
0,0,0,15,1,1,99.1,1426.4,1,6,95.09333333333333,4.006666666666661,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False
1,1,0,25,1,1,69.5,1752.65,0,6,70.10600000000001,-0.6060000000000088,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,1,0,8,1,1,80.65,633.3,1,4,79.1625,1.4875000000000114,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,1,1,60,1,1,74.85,4456.35,0,7,74.27250000000001,0.5774999999999864,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False
1,0,0,18,1,1,95.45,1752.55,1,5,97.36388888888888,-1.9138888888888772,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
0,1,1,63,1,1,99.65,6311.2,0,6,100.17777777777778,-0.5277777777777715,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True
1,1,1,66,1,1,108.45,7076.35,0,8,107.21742424242424,1.2325757575757592,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True
0,1,1,34,1,0,24.95,894.3,0,8,26.302941176470586,-1.352941176470587,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False
0,0,0,72,1,1,107.5,7853.7,0,7,109.07916666666667,-1.5791666666666657,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True
0,1,0,47,1,1,100.5,4707.1,0,6,100.15106382978725,0.3489361702127525,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
0,0,0,60,1,1,89.9,5450.7,0,5,90.845,-0.9449999999999932,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,1,0,72,0,0,42.1,2962.0,0,5,41.138888888888886,0.9611111111111157,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0,1,1,18,1,1,54.4,957.1,0,4,53.172222222222224,1.2277777777777743,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
0,0,0,9,1,0,94.4,857.25,1,5,95.25,-0.8499999999999943,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
0,0,0,3,1,1,75.3,244.1,0,6,81.36666666666666,-6.066666666666663,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False
0,1,0,47,1,1,78.9,3650.35,0,4,77.66702127659575,1.2329787234042584,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,0,0,31,1,0,79.2,2497.2,0,7,80.55483870967741,-1.3548387096774093,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False
0,1,1,50,1,0,20.15,930.9,0,7,18.618,1.532,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
0,0,0,10,1,1,79.85,887.35,0,4,88.735,-8.885000000000005,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,1,1,0,49.05,49.05,0,3,49.05,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1,1,52,1,1,20.4,1090.65,0,7,20.974038461538463,-0.5740384615384642,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
1,1,1,64,1,1,111.6,7099.0,0,8,110.921875,0.6781249999999943,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True
0,1,1,62,1,1,24.25,1424.6,0,8,22.97741935483871,1.272580645161291,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
0,0,1,3,1,1,64.5,177.4,0,5,59.13333333333333,5.366666666666667,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,0,0,56,1,0,110.5,6139.5,0,8,109.63392857142857,0.8660714285714306,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False
0,0,0,46,1,0,55.65,2688.85,0,3,58.45326086956521,-2.8032608695652144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False
0,1,1,8,1,0,54.65,482.25,0,4,60.28125,-5.631250000000001,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,0,0,30,1,1,74.75,2111.3,0,6,70.37666666666668,4.373333333333321,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0,1,1,45,1,1,25.9,1216.6,0,8,27.035555555555554,-1.1355555555555554,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
0,0,1,1,1,1,79.35,79.35,1,3,79.35,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
0,1,1,11,0,0,50.55,565.35,0,5,51.39545454545455,-0.845454545454551,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
0,1,0,7,1,1,75.15,496.9,1,3,70.98571428571428,4.164285714285725,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,42,1,1,103.8,4327.5,0,7,103.03571428571429,0.7642857142857054,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
0,1,0,49,1,1,20.15,973.35,0,7,19.864285714285714,0.2857142857142847,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
0,0,0,9,1,1,99.3,918.75,0,6,102.08333333333333,-2.7833333333333314,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
0,1,0,35,1,1,62.15,2215.45,0,4,63.29857142857142,-1.1485714285714224,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0,1,1,48,1,0,20.65,1057.0,0,7,22.020833333333332,-1.3708333333333336,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False
0,1,1,46,1,1,19.95,927.1,0,7,20.15434782608696,-0.20434782608695912,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
0,1,0,29,0,0,33.75,1009.25,0,3,34.80172413793103,-1.051724137931032,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
0,1,1,30,1,0,82.05,2570.2,0,4,85.67333333333333,-3.623333333333335,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,0,0,1,1,0,74.7,74.7,0,3,74.7,0.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,1,66,1,1,84.0,5714.25,0,8,86.57954545454545,-2.5795454545454533,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
0,0,0,65,1,1,111.05,7107.0,0,8,109.33846153846154,1.7115384615384528,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
0,0,0,72,1,1,100.9,7459.05,0,7,103.59791666666666,-2.697916666666657,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
0,0,0,12,1,1,78.95,927.35,1,4,77.27916666666667,1.6708333333333343,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,1,71,1,1,66.85,4748.7,0,6,66.8830985915493,-0.0330985915493045,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0,0,5,1,0,21.05,113.85,1,7,22.77,-1.7199999999999989,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,0,0,52,1,0,21.0,1107.2,0,7,21.292307692307695,-0.2923076923076948,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
1,1,0,25,1,1,98.5,2514.5,1,6,100.58,-2.0799999999999983,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0,0,0,1,1,0,20.2,20.2,0,7,20.2,0.0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,1,1,1,1,0,19.45,19.45,0,7,19.45,0.0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
0,0,0,38,1,0,95.0,3605.6,0,6,94.88421052631578,0.11578947368421666,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False
1,1,0,66,0,0,45.55,3027.25,0,5,45.86742424242424,-0.31742424242424505,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,1,0,68,1,1,110.0,7611.85,1,8,111.93897058823529,-1.9389705882352928,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True
0,0,0,5,0,0,24.3,100.2,0,2,20.04,4.260000000000002,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1,1,72,1,1,104.15,7303.05,0,7,101.43125,2.71875,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True
0,0,0,32,0,0,30.15,927.65,0,3,28.9890625,1.1609374999999993,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,0,0,43,1,0,94.35,3921.3,0,5,91.19302325581396,3.1569767441860392,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False
0,1,1,72,1,0,19.4,1363.25,0,7,18.93402777777778,0.46597222222222,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True
0,1,0,55,1,1,96.75,5238.9,1,6,95.25272727272727,1.4972727272727298,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,0,0,52,1,0,57.95,3042.25,0,5,58.50480769230769,-0.5548076923076906,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0,0,43,1,1,91.65,3954.1,0,5,91.95581395348837,-0.30581395348836793,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
1,1,0,37,1,1,76.5,2868.15,1,3,77.51756756756757,-1.0175675675675677,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,1,1,64,0,1,54.6,3423.5,0,6,53.4921875,1.1078125000000014,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,1,3,1,0,89.85,248.4,0,5,82.8,7.049999999999997,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
0,0,0,36,0,0,31.05,1126.35,0,3,31.287499999999998,-0.23749999999999716,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0,1,1,10,1,1,100.25,1064.65,1,6,106.465,-6.215000000000003,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
0,0,0,41,1,0,20.65,835.15,0,7,20.36951219512195,0.2804878048780495,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
0,1,1,27,1,1,85.2,2151.6,0,5,79.68888888888888,5.51111111111112,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
0,1,1,56,1,1,99.8,5515.45,0,6,98.49017857142857,1.309821428571425,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False
0,0,0,6,1,0,20.7,112.75,0,7,18.791666666666668,1.9083333333333314,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,0,0,3,1,1,74.4,229.55,1,3,76.51666666666667,-2.11666666666666,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,1,7,1,0,50.7,350.35,0,3,50.050000000000004,0.6499999999999986,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1,1,4,1,0,20.85,62.9,0,7,15.725,5.125000000000002,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,0,0,33,1,1,88.95,3027.65,0,5,91.7469696969697,-2.796969696969697,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
1,0,0,27,1,1,78.05,2135.5,1,4,79.0925925925926,-1.042592592592598,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
0,1,0,72,1,1,23.55,1723.95,0,8,23.94375,-0.3937500000000007,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
0,0,0,1,1,0,19.75,19.75,0,7,19.75,0.0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1,0,0,71,0,1,56.45,3985.35,0,6,56.131690140845066,0.3183098591549367,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True
0,0,0,13,1,1,85.95,1215.65,0,4,93.51153846153846,-7.561538461538461,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
0,1,1,25,0,1,58.6,1502.65,1,7,60.106,-1.5060000000000002,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
0,0,0,67,1,0,50.55,3260.1,0,3,48.65820895522388,1.8917910447761201,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0,0,0,1,0,1,35.45,35.45,1,3,35.45,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0,0,0,2,1,0,44.35,81.25,1,2,40.625,3.7250000000000014,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,0,43,1,1,25.7,1188.2,0,8,27.632558139534886,-1.932558139534887,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False
0,0,0,23,1,1,75.0,1778.5,0,3,77.32608695652173,-2.326086956521735,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,1,1,64,1,0,20.2,1277.75,0,7,19.96484375,0.2351562499999993,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
0,0,1,57,1,1,19.6,1170.55,0,7,20.5359649122807,-0.9359649122806992,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
1,1,0,1,1,1,70.45,70.45,1,2,70.45,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
